team,xg,goals,attempts
Arsenal,32.43857914419138,29,246
Manchester Utd,32.18375345155255,28,266
Manchester City,28.701182193617313,38,240
Leeds United,28.489364529690356,24,222
Chelsea,28.286861963398067,29,239
Brighton,27.4391421713286,24,232
Liverpool,27.120664137418846,27,258
Crystal Palace,24.22628843416307,20,198
Bournemouth,24.130621774598463,26,226
Newcastle Utd,22.853364700035154,23,206
Nott'ham Forest,22.431641580706238,17,197
Fulham,22.293822537217718,20,182
Aston Villa,21.839492101365344,24,185
Tottenham,21.212430141683203,25,168
Everton,21.080495647937298,17,175
West Ham,20.868540139365916,18,169
Brentford,19.80441711169692,24,165
Sunderland,18.500093276650215,17,163
Wolves,16.194151882669203,8,147
Burnley,15.851818490654859,19,144
